BS76_RS0108305
BS76_RS0111455
BS76_RS0106125
BS76_RS0105665
BS76_RS0102645
BS76_RS0104180
BS76_RS0105705
BS76_RS0105740
BS76_RS0108265
BS76_RS0102830
BS76_RS0105630
BS76_RS0104175
BS76_RS0105775
BS76_RS0104185
BS76_RS0105635
BS76_RS0108325
BS76_RS0108335
BS76_RS0105615
BS76_RS0102805
BS76_RS0106135
BS76_RS0105770
BS76_RS0108310
BS76_RS0105780
BS76_RS0106140
BS76_RS0108455
BS76_RS0105725
BS76_RS0102620
BS76_RS0102925
BS76_RS0108450
BS76_RS0108270
BS76_RS0108280
BS76_RS13700
BS76_RS0106090
BS76_RS0105690
BS76_RS0108330
BS76_RS0105720
BS76_RS0111555
BS76_RS0108315
BS76_RS0108485
BS76_RS0105695
BS76_RS0104225
BS76_RS0104220
BS76_RS0102950
BS76_RS0108340
BS76_RS13385
BS76_RS0108405
BS76_RS0108360
BS76_RS0108400
BS76_RS0105625
BS76_RS0108385
BS76_RS0111545
BS76_RS0111550
BS76_RS0105715
BS76_RS0105760
BS76_RS0104200
BS76_RS0105745
BS76_RS0104240
BS76_RS0105645
BS76_RS13390
BS76_RS0108350
BS76_RS0104215
BS76_RS0105700
BS76_RS0102945
BS76_RS0108300
BS76_RS0102625
BS76_RS0108290
BS76_RS0105735
BS76_RS0104210
BS76_RS0105750
BS76_RS0106145
BS76_RS0102965
BS76_RS0108440
BS76_RS0105765
BS76_RS0108380
BS76_RS0108395
BS76_RS0105605
BS76_RS13760
BS76_RS0108535
BS76_RS0105640
BS76_RS0108375
BS76_RS0108355
BS76_RS0104230
BS76_RS0108420
BS76_RS0102930
BS76_RS0111490
BS76_RS0108425
BS76_RS0108365
BS76_RS13400
BS76_RS0106150
BS76_RS0102955
BS76_RS0108445
BS76_RS0104190
BS76_RS0111485
BS76_RS0111510
BS76_RS0108260
BS76_RS0108345
BS76_RS0105620
BS76_RS0105755
BS76_RS0105730
BS76_RS0102920
